"PRODUCT_ID","PRODUCT_NAME","PRODUCT_EXPLAIN","NET_TYPE_NAME","START_DATE","END_DATE","CASEWHENA.COMP_TAG='0'THEN'非?","CASEWHENA.PRODUCT_STATE='0'THE"
"40000038","滨海市话王-河南卡","滨海市话王-河南卡","普通GSM业务","2004/7/9","2050/1/1","非组合产品","审批"
"40000039","滨海长途王卡","滨海长途王卡","普通GSM业务","2004/7/9","2050/1/1","非组合产品","审批"
"30000015","GSM移动公话3","GSM移动公话3","GSM无线公商话","2002/11/18","2050/1/1","非组合产品","停售"
"30000030","如意通虚拟产品","如意通虚拟产品","PPS业务","2001/1/1","2050/1/1","非组合产品",""
"10000017","本通二代20元免被叫2","本通二代20元免被叫2","普通GSM业务","2002/5/23","2050/1/1","非组合产品",""
"30000019","智能网大众卡(30元初始话费-散号)","智能网大众卡(30元初始话费-散号)","PPS业务","2007/10/25","2050/1/1","非组合产品",""
"10000062","GSM工薪卡45","GSM工薪卡45","普通GSM业务","2007/3/1","2050/1/1","非组合产品","停售"
"10000010","标准计费方案","标准计费方案","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"30000010","无月租标准计费方案","无月租标准计费方案","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"30000022","休闲员工卡","休闲员工卡","普通GSM业务","2004/1/1","2050/1/1","非组合产品",""
"30000012","本地预付休闲卡","本地预付休闲卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品","停售"
"40000008","免全部通话费","免全部通话费","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000009","天分折扣方案1(150元)","天分折扣方案1(150元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000010","天分折扣方案2(200元)","天分折扣方案2(200元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000020","集团(VPN)卡","集团(VPN)卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000025","员工卡7(200元)","员工卡7(200元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000033","无线公话","无线公话","GSM无线公商话","2002/7/27","2050/1/1","非组合产品",""
"10000072","GSM心连心158（双模）","GSM心连心158（双模）","GC双模G网签约业务","2005/7/15","2050/1/1","非组合产品",""
"10000073","GSM心连心198（双模）","GSM心连心198（双模）","GC双模G网签约业务","2005/7/15","2050/1/1","非组合产品",""
"40000048","GSM校园短信通","GSM校园短信通","普通GSM业务","2008/8/20","2050/1/1","非组合产品",""
"30000002","如意通休闲卡","如意通休闲卡","PPS业务","2007/9/11 21:25:09","2050/1/1","非组合产品",""
"10000004","GSM漫游卡200（双模）","GSM漫游卡200（双模）","GC双模G网签约业务","2006/6/1","2050/1/1","非组合产品",""
