"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS无线市话","80005195","共享时长(1+1+1+3)市区39元ADSL包月套餐小灵通","2009/8/22","2050/12/31","0","0"
"BSS互联网增值业务","80004387","宽带我家10G","2009/8/22","2050/12/31","0","0"
"BSS互联网","80004790","	寒暑假宽带2M","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80004821","共享时长(1+0+0+1)区县49元固话","2009/8/22","2050/12/31","5042.44","258"
"BSS固定电话","80004851","共享时长(1+1+0+1)市区69元ADSL包月固话","2009/8/22","2050/12/31","4544.26","174"
"BSS无线市话","80004977","共享时长(1+1+1+2)市区49元ADSL限时小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80004993","共享时长(1+0+1+2)区县39元小灵通","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80005105","共享时长(1+1+0+1)市区89元ADSL包月套餐普通电话","2009/8/22","2050/12/31","8806.5","250"
"BSS固定电话","80005109","共享时长(1+1+0+3)市区119元ADSL包月套餐普通电话","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80005126","共享时长(1+0+1+3)市区69元套餐小灵通","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80005155","共享时长(1+0+0+3)市区119元套餐普通电话","2009/8/22","2050/12/31","99.3","3"
"BSS固定电话","80005179","共享时长(1+0+0+3)区县119元套餐普通电话","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80005182","共享时长(1+0+1+1)区县89元套餐小灵通","2009/8/22","2050/12/31","0","0"
"BSS互联网","81090002","ADSL专线（包月200元）","2009/8/22","2012/5/8","0","0"
"BSS互联网","85000037","寒暑假宽带2M(区县)","2009/8/22","2050/12/31","140","2"
"BSS数据通信","99400016","联通专网协议套餐742元","2006/11/1","2050/12/31","0","0"
"BSS互联网","99200012","1M (512K升至1M)包月200元","2000/1/1","2099/1/1 23:59:59","800","4"
"BSS固定电话","99100019","市区90，区内无折，移动4折，IP7折(MSZJ8)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100070","塘沽新市话,月租90(LTG4)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100386","名企35套餐(FMQ35)","2006/10/20","2099/1/1","0","0"
"BSS固定电话","99100435","滨海90，区间4折，移动4折，IP无折(MSZJ2)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS网元出租","99400057","联通专网协议套餐1700元","2006/11/1","2050/12/31","0","0"
"BSS互联网","99400271","联通专网协议套餐0元-AD静态","2006/11/1","2050/12/31","0","0"
